,x,y,name,area,url,title,abstract,index
0,-0.0681,-0.0176,SNOWMASS21-AF-TOPIC0-001,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF-TOPIC0-001.pdf,Gamma Factory,"This contribution discusses the possibility of creating novel research tools by producing and storing highly relativistic atomic beams in high-energy storage rings, and by exciting their atomic degrees of freedom by lasers to produce high-energy photon beams. Their intensity would be, by several orders of magnitude, higher than those of the presently operating light sources, in the particularly interesting gamma-ray energy domain reaching up to 400 MeV. In this energy domain, the high-intensity photon beams can be used to produce secondary beams of polarised electrons, polarised positrons, polarised muons, neutrinos, neutrons and radioactive ions. The atomic beams, the photon beams",0
1,-0.1003,-0.0964,SNOWMASS21-AF0-015,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF0-015.pdf,2020 snowmass Letter of Interest: High current high brightness SRF gun,"The initial brightness of electron source determines the brightness of electron beam which is useful in many future facilities such as X-FEL, UEM and strong hadron electron cooling for electron ion collider (EIC). Study the photocathode and how to use the advanced cathodes in the RF electron gun are must in my personal view of the step to pursue the required electron beam. The initial brightness of electron beam is determined by the photocathode properties and electric field gradient on photocathode at the moment of emission Therefore, a photocathode with low MTE operating in a high gradient gun offers a",1
2,-0.0225,0.0011,SNOWMASS21-AF0_AF0-091,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF0_AF0-091.pdf,POTENTIAL FOR HIGH-ENERGY PHYSICS AT THE OAK RIDGE NATIONAL LAB’S SPALLATION NEUTRON SOURCE,"POTENTIAL FOR HIGH-ENERGY PHYSICS AT THE OAK RIDGE NATIONAL LAB’S SPALLATION NEUTRON SOURCE NICHOLAS J. EVANS OAK RIDGE NATIONAL LAB, OAK RIDGE, TN EVANSNJ@ORNL.GOV Oak Ridge’s Spallation Neutron Source (SNS) is the highest power pulsed proton source in the world currently providing a time averaged 1.4 MW of 1.0 GeV protons to a liquid mercury neutron production target. The proton beam consists of 1.5×1014 protons in an 800ns long bunch, at a repetition rate of 60 Hz. The SNS typically runs for more than 4000 hrs each year, with > 90% reliability. Neutrons are produced at the center of a",2
3,-0.1065,-0.16,SNOWMASS21-AF0_AF0-215,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF0_AF0-215.pdf,Plasma Processing for In-Situ Field Emission Mitigation of Superconducting Radiofrequency (SRF),"and more powerful particle accelerators which are needed to carry out pivotal high energy physics experiments. State-of-the-art SRF cavities are very efficient devices that can achieve accelerating gradients up to about 50 MV/m during vertical RF test. However, when assembled together into a string of cavities – the main component of a cryomodule – it is possible that contaminants which field emit as the electromagnetic field is established in the resonator may be introduced. Field emission is one of the main limiting factors of cavities operating in accelerators and it occurs whenever contaminants, like dust, metal flakes or even absorbates,",3
4,-0.1279,-0.1247,SNOWMASS21-AF0_AF0-229,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF0_AF0-229.pdf,Letter of Interest for Snowmass2021,"applications the couplers are required to transmit megawatts of pulsed RF power and hundreds of kilowatts of average power. Many successful power couplers have been developed over the years, but the designs continue to evolve, and new designs are proposed and developed to address challenges brought by new SRF projects. As a result, various aspects of the input coupler design, fabrication, preparation, RF conditioning, integration in cryomodules, interactions with beam, etc. are frequently discussed at various conferences and meetings and these discussions are summarized in overview papers, such as [1-4]. New SRF accelerator technologies push the gradient of the cavity",4
5,-0.146,-0.0828,SNOWMASS21-AF0_AF0-CommF2_CommF0_Stancari-113,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF0_AF0-CommF2_CommF0_Stancari-113.pdf,An International Exchange Framework for Research in Beam Physics and Accelerator,"common development of theoretical models and numerical simulations are all activities that have been very fruitful, both in the short term and in the long term. For instance, the LHC Accelerator Research Program (LARP) [1], funded by the US Department of Energy in the period 2003–2018, enabled the development of accelerator-quality Nb3 Sn superconducting magnets, crab cavities for hadron colliders, wide bandwidth feedback systems, and novel collimation tech- niques, including active beam halo control with hollow electron lenses. As part of the LARP program, the post-doctoral Toohig Fellowship supported collaborative, multi-laboratory research for 14 physicists [2]. Many of them have",5
6,-0.1225,-0.165,SNOWMASS21-AF0_AF0-IF0_IF0_Federico_Scurti-242,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF0_AF0-IF0_IF0_Federico_Scurti-242.pdf,Rayleigh-backscattering Interrogated Optical Fibers as part of a Quench,"and background High temperature superconducting (HTS) materials offer unprecedented advantages to generate high magnetic fields required by future particle accelerators, fusion energy systems and other applications in power, medical and defense systems. HTS conductors have achieved performance levels and homogeneity that are relevant for accelerator magnet applications [1]–[3]. Remaining challenges, however, continue to limit the implementation of HTS conductors. One such limiting factor is the lack of an adequate monitoring system that ideally measures temperature and strain within the superconducting magnet (SCM) for rapid and early detection of incipient failure [4]. The primary failure mechanism, and the most critical one,",6
7,-0.1226,-0.0145,SNOWMASS21-AF0_AF0_Hannes_Bartosik-051,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF0_AF0_Hannes_Bartosik-051.pdf,Performance of the LHC injector chain after the upgrade and potential development,"Fixed target beams are available at the extraction of each of the accelerators of the LHC injectors chain serving a variety of experiments. The Physics Beyond Collider (PBC) study [2] has been investigating the future exploitation of the existing accelerator complex taking into account the improved performance after LIU [3]. A short description of the main beam types is provided below. Table 1 provides a summary of the relevant beam parameters. • The PSB beam can be extracted directly to the targets of the Isotope Separator On Line DEvice (ISOLDE), where radioactive nuclides are produced via spallation, fission, or fragmentation",7
8,-0.1153,-0.1496,SNOWMASS21-AF0_AF0_Mattia_Checchin-173,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF0_AF0_Mattia_Checchin-173.pdf,Innovative Materials and Surface Treatments for SRF applications,"small traces of interstitials elements in niobium can drastically modify the performance of SRF cavities and that the engineering of the diffusion profile [3,4] is key to push the gradient reach and still allowing for high Q-factors. Nevertheless, the spectrum of thermal treatments that can be studied with the current tools available are limited to diffusion of inert gas species such as nitrogen and the community is currently blind regarding the effect of different elemental interstitials. In the search of alternative materials for SRF applications, some effort has been devoted to the study of NbN and NbTiN in thin film",8
9,-0.1323,-0.0843,SNOWMASS21-AF0_AF0_S.A._Bogacz-098,AF,https://www.snowmass21.org/docs/files/summaries/AF/SNOWMASS21-AF0_AF0_S.A._Bogacz-098.pdf,PERLE a ‘Stepping Stone’ for the Next Generation ERLs,"PERLE (Powerful ERL for Experiments) [1] is a novel Energy Recovery Linac (ERL) test facility, which has been designed to validate choices for a 50 GeV ERL foreseen in the design of the LHeC [2] and the FCC-eh, and to later serve a set of dedicated nuclear and particle physics experiments. Its main thrust is to probe high current, continuous wave (CW), multi-pass operation with superconducting cavities at 802 MHz (and perhaps testing other frequencies of interest). With very high transient beam power (~10 MW), PERLE offers an opportunity for controllable study of every beam dynamic effect of interest in",9
